SV_A,SV_R
3.82,7.05
4.37,5.2
1.5,0
4.52,0
3.48,0
3.68,10
4.48,0
3.13,7.14
1.45,6.67
4.95,4.13
2.11,4.76
4.48,5.05
3.66,6.61
3.55,6.44
3.53,5.3
3.26,4.26
6.1,4.35
4.69,3.27
1.67,6.45
5.71,4.17
4.26,7.41
5.37,5.88
2.67,2.48
6.38,0
4.65,4.69
5.26,1.09
6.34,0
4.82,3.85
2,6.37
7.62,0
3.28,7.58
6.1,0
4.78,5.87
7.91,4.73
6.67,4.96
7.04,7.14
5.17,6.37
2.33,7.14
1.18,4.67
3.95,5.07
6.67,8.76
2.33,7.19
1.55,7.13
4.6,20
3.21,6.48
2.14,6.45
4.27,7.15
3.58,7.14
6.1,4.32
4.34,2.26
2.04,3.64
5.56,4.95
5.38,8.91
2.38,2.79
3.57,7.69
2.56,0
5.3,12.07
5.35,4.74
3.93,3.08
3.33,0
5.81,7.53
7.3,3.09
5.97,4.18
4.45,5.29
3,7.32
5.69,6.38
3.46,4.03
4.43,8
6.24,5.56
2.45,5.41
3.35,1.59
3.17,7.32
2.88,3.65
3.71,4.42
3.37,5.27
5.28,7.27
5.85,4.96
4.73,2.9
7.77,3.53
3.83,5.03
4.81,5.26
4.23,0
8.2,5.55
3.92,3.54
3.06,4.31
1.85,8.33
0,7.69
3.21,4.49
5.15,4.99
3.71,3.44
2.29,6.21
3.21,4.8
3.05,6.91
4.25,5.29
3.03,3.51
5.55,5.48
3.89,6.42
0,0
1.12,0
1.46,3.11
2.2,6.07
1.83,3.28
3.16,4.5
2.85,6.85
3.03,4.55
3.72,5.7
4.02,0
7.14,4.65
2.06,5
4.25,0
4.92,4.64
6.38,5.06
2.96,3.87
4.48,6.89
5.59,4
3.39,1.79
5.99,0
4.76,5.11
7.17,4.55
3.13,3.12
2.68,0
4.62,2.86
2.08,4.89
3.76,1.19
4.95,5.82
4.95,6.3
1.57,4.55
1.22,5.29
5.17,3.74
3.79,3.58
4.42,21.43
4.18,4.6
4.66,4.3
3.83,7.41
2.03,5.07
2.44,0
3.56,4.21
3.66,3.57
3.35,7.11
3.94,3.74
2.98,4.69
4.16,3.03
4.5,6.47
6.25,2.33
3.22,4.99
4.61,6.2
2.27,5.22
3.97,4.47
2.22,0
4.83,0
5.88,5.59
7.69,0
4.46,6.38
1.5,0
5.27,0
3.33,3.57
4.64,7.14
4.24,4.76
3.7,4.3
3.93,6.12
4.56,13.33
2.63,8.96
2.6,5.51
2.61,3.83
5.67,3.07
6.11,7.32
3.4,3.77
4.81,0
2.99,0
3.02,5.56
3.4,0
5.83,0
2.2,0
4.74,0
1.43,0
4.78,8.33
4.49,0
3.92,18.75
4.14,0
5.01,3.57
18.71,5.56
4.27,1.45
4.36,3.7
1.87,0
4.69,6.67
